
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.213	with	FireStingO2	(Firmware	3.06)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Oxygen Sensor Spot, FTC (normal range)	mg/l (ppm)	OFF	SA7-530-200	3	ON External	20.000	ON	1013	35.000	10%	200x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	300	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	
Ch 1	Factory 0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	28.190	1020	100.000	20.950	53.000	19.353	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Data	Smoothing:	10	
Date:	13.10.2017	
			 	Oxygen				Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
13.10.2017	11:55:20	0.00		9.1993	---	---	---	28.252	---	---	---	1020.31	47.547	28.252	---	---	15.682	---	---	---	19.842	---	---	---	39.381	---	---	---	
13.10.2017	11:55:21	1.00		9.3083	---	---	---	28.217	---	---	---	1020.31	47.306	28.217	---	---	15.581	---	---	---	19.972	---	---	---	39.199	---	---	---	
13.10.2017	11:55:22	2.00		9.4097	---	---	---	28.273	---	---	---	1020.31	47.066	28.273	---	---	15.468	---	---	---	20.052	---	---	---	38.893	---	---	---	
13.10.2017	11:55:23	3.00		9.5180	---	---	---	28.240	---	---	---	1020.32	46.825	28.240	---	---	15.370	---	---	---	20.165	---	---	---	38.489	---	---	---	
13.10.2017	11:55:24	4.00		9.6584	---	---	---	28.198	---	---	---	1020.32	46.585	28.198	---	---	15.241	---	---	---	20.256	---	---	---	38.110	---	---	---	
13.10.2017	11:55:25	5.00		9.7845	---	---	---	28.200	---	---	---	1020.31	46.345	28.200	---	---	15.116	---	---	---	20.398	---	---	---	37.981	---	---	---	
13.10.2017	11:55:26	6.00		9.9154	---	---	---	28.176	---	---	---	1020.31	46.104	28.176	---	---	14.994	---	---	---	20.522	---	---	---	37.618	---	---	---	
13.10.2017	11:55:27	7.00		10.032	---	---	---	28.177	---	---	---	1020.30	45.864	28.177	---	---	14.879	---	---	---	20.648	---	---	---	36.958	---	---	---	
13.10.2017	11:55:28	8.00		10.168	---	---	---	28.149	---	---	---	1020.30	45.620	28.149	---	---	14.750	---	---	---	20.783	---	---	---	36.618	---	---	---	
13.10.2017	11:55:29	9.00		10.307	---	---	---	28.076	---	---	---	1020.30	45.375	28.076	---	---	14.629	---	---	---	20.877	---	---	---	36.256	---	---	---	
13.10.2017	11:55:30	10.00		10.339	---	---	---	28.100	---	---	---	1020.29	45.372	28.100	---	---	14.595	---	---	---	20.891	---	---	---	36.278	---	---	---	
13.10.2017	11:55:31	11.00		10.331	---	---	---	28.170	---	---	---	1020.30	45.368	28.170	---	---	14.587	---	---	---	20.905	---	---	---	36.214	---	---	---	
13.10.2017	11:55:32	12.00		10.341	---	---	---	28.093	---	---	---	1020.30	45.364	28.093	---	---	14.594	---	---	---	20.928	---	---	---	36.328	---	---	---	
13.10.2017	11:55:33	13.00		10.336	---	---	---	28.092	---	---	---	1020.30	45.360	28.092	---	---	14.599	---	---	---	20.939	---	---	---	36.462	---	---	---	
13.10.2017	11:55:34	14.00		10.331	---	---	---	28.077	---	---	---	1020.31	45.356	28.077	---	---	14.607	---	---	---	20.947	---	---	---	36.736	---	---	---	
13.10.2017	11:55:35	15.00		10.328	---	---	---	28.097	---	---	---	1020.32	45.353	28.097	---	---	14.604	---	---	---	20.947	---	---	---	36.780	---	---	---	
13.10.2017	11:55:36	16.00		10.315	---	---	---	28.132	---	---	---	1020.32	45.349	28.132	---	---	14.609	---	---	---	20.967	---	---	---	37.100	---	---	---	
13.10.2017	11:55:37	17.00		10.299	---	---	---	28.194	---	---	---	1020.32	45.345	28.194	---	---	14.610	---	---	---	20.965	---	---	---	37.323	---	---	---	
13.10.2017	11:55:38	18.00		10.286	---	---	---	28.238	---	---	---	1020.32	45.345	28.238	---	---	14.613	---	---	---	20.958	---	---	---	36.865	---	---	---	
13.10.2017	11:55:39	19.00		10.261	---	---	---	28.296	---	---	---	1020.31	45.345	28.296	---	---	14.623	---	---	---	20.945	---	---	---	36.657	---	---	---	
13.10.2017	11:55:40	20.00		10.247	---	---	---	28.235	---	---	---	1020.30	45.345	28.235	---	---	14.648	---	---	---	20.960	---	---	---	37.016	---	---	---	
13.10.2017	11:55:41	21.00		10.269	---	---	---	28.213	---	---	---	1020.29	45.345	28.213	---	---	14.633	---	---	---	20.958	---	---	---	37.119	---	---	---	
13.10.2017	11:55:42	22.00		10.270	---	---	---	28.192	---	---	---	1020.28	45.345	28.192	---	---	14.637	---	---	---	20.980	---	---	---	37.259	---	---	---	
13.10.2017	11:55:43	23.00		10.258	---	---	---	28.227	---	---	---	1020.27	45.345	28.227	---	---	14.640	---	---	---	21.015	---	---	---	37.418	---	---	---	
13.10.2017	11:55:44	24.00		10.256	---	---	---	28.212	---	---	---	1020.25	45.345	28.212	---	---	14.645	---	---	---	21.008	---	---	---	37.046	---	---	---	
13.10.2017	11:55:45	25.00		10.234	---	---	---	28.171	---	---	---	1020.25	45.345	28.171	---	---	14.674	---	---	---	20.989	---	---	---	36.625	---	---	---	
13.10.2017	11:55:46	26.00		10.209	---	---	---	28.165	---	---	---	1020.24	45.345	28.165	---	---	14.698	---	---	---	20.987	---	---	---	36.569	---	---	---	
13.10.2017	11:55:47	27.00		10.215	---	---	---	28.113	---	---	---	1020.24	45.345	28.113	---	---	14.704	---	---	---	21.021	---	---	---	36.760	---	---	---	
13.10.2017	11:55:48	28.00		10.184	---	---	---	28.149	---	---	---	1020.23	45.342	28.149	---	---	14.726	---	---	---	21.040	---	---	---	37.101	---	---	---	
13.10.2017	11:55:49	29.00		10.173	---	---	---	28.132	---	---	---	1020.24	45.342	28.132	---	---	14.740	---	---	---	21.073	---	---	---	37.535	---	---	---	
13.10.2017	11:55:50	30.00		10.134	---	---	---	28.216	---	---	---	1020.25	45.339	28.216	---	---	14.757	---	---	---	21.081	---	---	---	37.355	---	---	---	
13.10.2017	11:55:51	31.00		10.112	---	---	---	28.204	---	---	---	1020.25	45.339	28.204	---	---	14.780	---	---	---	21.091	---	---	---	37.082	---	---	---	
13.10.2017	11:55:52	32.00		10.089	---	---	---	28.213	---	---	---	1020.25	45.336	28.213	---	---	14.800	---	---	---	21.093	---	---	---	37.061	---	---	---	
13.10.2017	11:55:53	33.00		10.075	---	---	---	28.228	---	---	---	1020.25	45.333	28.228	---	---	14.810	---	---	---	21.100	---	---	---	37.078	---	---	---	
13.10.2017	11:55:54	34.00		10.079	---	---	---	28.196	---	---	---	1020.26	45.333	28.196	---	---	14.813	---	---	---	21.117	---	---	---	37.057	---	---	---	
13.10.2017	11:55:55	35.00		10.064	---	---	---	28.212	---	---	---	1020.26	45.330	28.212	---	---	14.823	---	---	---	21.136	---	---	---	37.217	---	---	---	
13.10.2017	11:55:56	36.00		10.048	---	---	---	28.195	---	---	---	1020.27	45.327	28.195	---	---	14.842	---	---	---	21.152	---	---	---	37.220	---	---	---	
13.10.2017	11:55:57	37.00		10.015	---	---	---	28.205	---	---	---	1020.28	45.324	28.205	---	---	14.871	---	---	---	21.158	---	---	---	37.045	---	---	---	
13.10.2017	11:55:58	38.00		10.028	---	---	---	28.141	---	---	---	1020.27	45.324	28.141	---	---	14.872	---	---	---	21.155	---	---	---	36.907	---	---	---	
13.10.2017	11:55:59	39.00		10.000	---	---	---	28.159	---	---	---	1020.26	45.321	28.159	---	---	14.895	---	---	---	21.178	---	---	---	36.910	---	---	---	
13.10.2017	11:56:00	40.00		9.9892	---	---	---	28.152	---	---	---	1020.25	45.321	28.152	---	---	14.907	---	---	---	21.181	---	---	---	36.684	---	---	---	
13.10.2017	11:56:01	41.00		9.9733	---	---	---	28.140	---	---	---	1020.27	45.318	28.140	---	---	14.925	---	---	---	21.197	---	---	---	36.674	---	---	---	
13.10.2017	11:56:02	42.00		9.9607	---	---	---	28.165	---	---	---	1020.27	45.318	28.165	---	---	14.932	---	---	---	21.213	---	---	---	36.297	---	---	---	
13.10.2017	11:56:03	43.00		9.9455	---	---	---	28.147	---	---	---	1020.28	45.318	28.147	---	---	14.950	---	---	---	21.231	---	---	---	36.173	---	---	---	
