
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.213	with	FireStingO2	(Firmware	3.06)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Oxygen Sensor Spot, FTC (normal range)	mg/l (ppm)	OFF	SA7-530-200	3	OFF	25.000	ON	1013	35.000	10%	200x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	300	Offset ('C):	25.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	
Ch 1	Factory 0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	25.000	1004	100.000	20.950	53.000	19.549	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Data	Smoothing:	10	
Date:	20.10.2017	
			 	Oxygen				Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
20.10.2017	07:50:58	0.00		7.4097	---	---	---	25.000	---	---	---	1003.48	43.239	---	---	---	18.457	---	---	---	21.376	---	---	---	5.721	---	---	---	
20.10.2017	07:50:59	1.51		7.4140	---	---	---	25.000	---	---	---	1003.49	43.222	---	---	---	18.451	---	---	---	21.351	---	---	---	5.591	---	---	---	
20.10.2017	07:51:01	3.00		7.4211	---	---	---	25.000	---	---	---	1003.49	43.205	---	---	---	18.441	---	---	---	21.332	---	---	---	5.587	---	---	---	
20.10.2017	07:51:02	4.50		7.4364	---	---	---	25.000	---	---	---	1003.49	43.189	---	---	---	18.419	---	---	---	21.331	---	---	---	5.496	---	---	---	
20.10.2017	07:51:04	6.00		7.4331	---	---	---	25.000	---	---	---	1003.49	43.175	---	---	---	18.424	---	---	---	21.309	---	---	---	5.442	---	---	---	
20.10.2017	07:51:05	7.50		7.4499	---	---	---	25.000	---	---	---	1003.48	43.161	---	---	---	18.400	---	---	---	21.293	---	---	---	5.453	---	---	---	
20.10.2017	07:51:07	9.00		7.4646	---	---	---	25.000	---	---	---	1003.49	43.145	---	---	---	18.379	---	---	---	21.282	---	---	---	5.463	---	---	---	
20.10.2017	07:51:08	10.52		7.4684	---	---	---	25.000	---	---	---	1003.50	43.132	---	---	---	18.374	---	---	---	21.267	---	---	---	5.375	---	---	---	
20.10.2017	07:51:10	12.04		7.4888	---	---	---	25.000	---	---	---	1003.50	43.115	---	---	---	18.345	---	---	---	21.241	---	---	---	5.269	---	---	---	
20.10.2017	07:51:11	13.56		7.5119	---	---	---	25.000	---	---	---	1003.50	43.098	---	---	---	18.312	---	---	---	21.225	---	---	---	5.342	---	---	---	
20.10.2017	07:51:13	15.07		7.5228	---	---	---	25.000	---	---	---	1003.50	43.088	---	---	---	18.297	---	---	---	21.217	---	---	---	5.419	---	---	---	
20.10.2017	07:51:14	16.57		7.5270	---	---	---	25.000	---	---	---	1003.50	43.075	---	---	---	18.291	---	---	---	21.208	---	---	---	5.481	---	---	---	
20.10.2017	07:51:16	18.07		7.5223	---	---	---	25.000	---	---	---	1003.50	43.062	---	---	---	18.297	---	---	---	21.200	---	---	---	5.470	---	---	---	
20.10.2017	07:51:17	19.57		7.5274	---	---	---	25.000	---	---	---	1003.50	43.045	---	---	---	18.290	---	---	---	21.185	---	---	---	5.514	---	---	---	
20.10.2017	07:51:19	21.07		7.5324	---	---	---	25.000	---	---	---	1003.50	43.028	---	---	---	18.283	---	---	---	21.178	---	---	---	5.543	---	---	---	
20.10.2017	07:51:20	22.56		7.5253	---	---	---	25.000	---	---	---	1003.50	43.008	---	---	---	18.293	---	---	---	21.178	---	---	---	5.525	---	---	---	
20.10.2017	07:51:22	24.06		7.5218	---	---	---	25.000	---	---	---	1003.49	42.992	---	---	---	18.298	---	---	---	21.179	---	---	---	5.517	---	---	---	
20.10.2017	07:51:23	25.56		7.5283	---	---	---	25.000	---	---	---	1003.49	42.971	---	---	---	18.289	---	---	---	21.174	---	---	---	5.537	---	---	---	
20.10.2017	07:51:25	27.07		7.5317	---	---	---	25.000	---	---	---	1003.49	42.954	---	---	---	18.284	---	---	---	21.176	---	---	---	5.553	---	---	---	
20.10.2017	07:51:26	28.56		7.5178	---	---	---	25.000	---	---	---	1003.50	42.934	---	---	---	18.304	---	---	---	21.179	---	---	---	5.467	---	---	---	
20.10.2017	07:51:28	30.06		7.4998	---	---	---	25.000	---	---	---	1003.50	42.918	---	---	---	18.329	---	---	---	21.175	---	---	---	5.494	---	---	---	
20.10.2017	07:51:29	31.57		7.5055	---	---	---	25.000	---	---	---	1003.50	42.904	---	---	---	18.321	---	---	---	21.174	---	---	---	5.395	---	---	---	
20.10.2017	07:51:31	33.09		7.5063	---	---	---	25.000	---	---	---	1003.50	42.887	---	---	---	18.320	---	---	---	21.174	---	---	---	5.516	---	---	---	
20.10.2017	07:51:32	34.60		7.5007	---	---	---	25.000	---	---	---	1003.50	42.874	---	---	---	18.328	---	---	---	21.175	---	---	---	5.572	---	---	---	
20.10.2017	07:51:34	36.10		7.4948	---	---	---	25.000	---	---	---	1003.51	42.861	---	---	---	18.336	---	---	---	21.177	---	---	---	5.595	---	---	---	
20.10.2017	07:51:35	37.59		7.4901	---	---	---	25.000	---	---	---	1003.52	42.848	---	---	---	18.343	---	---	---	21.182	---	---	---	5.584	---	---	---	
20.10.2017	07:51:37	39.11		7.4901	---	---	---	25.000	---	---	---	1003.52	42.837	---	---	---	18.343	---	---	---	21.195	---	---	---	5.582	---	---	---	
