
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.213	with	FireStingO2	(Firmware	3.06)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Oxygen Sensor Spot, FTC (normal range)	mg/l (ppm)	OFF	SA7-530-200	3	ON External	20.000	ON	1013	35.000	10%	200x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	300	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	
Ch 1	Factory 0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	27.915	1018	100.000	20.950	53.000	18.553	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Data	Smoothing:	10	
Date:	12.10.2017	
			 	Oxygen				Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
12.10.2017	12:45:38	0.00		6.2503	---	---	---	28.142	---	---	---	1017.95	36.042	28.142	---	---	18.862	---	---	---	24.091	---	---	---	29.172	---	---	---	
12.10.2017	12:45:39	1.00		6.2504	---	---	---	28.098	---	---	---	1017.94	36.035	28.098	---	---	18.873	---	---	---	24.114	---	---	---	28.779	---	---	---	
12.10.2017	12:45:40	2.00		6.2430	---	---	---	28.092	---	---	---	1017.94	36.029	28.092	---	---	18.887	---	---	---	24.125	---	---	---	28.468	---	---	---	
12.10.2017	12:45:41	3.00		6.2374	---	---	---	28.096	---	---	---	1017.95	36.020	28.096	---	---	18.896	---	---	---	24.118	---	---	---	27.967	---	---	---	
12.10.2017	12:45:42	4.00		6.2348	---	---	---	28.067	---	---	---	1017.94	36.010	28.067	---	---	18.908	---	---	---	24.135	---	---	---	27.710	---	---	---	
12.10.2017	12:45:43	5.00		6.2348	---	---	---	27.996	---	---	---	1017.95	36.000	27.996	---	---	18.925	---	---	---	24.151	---	---	---	27.177	---	---	---	
12.10.2017	12:45:44	6.00		6.2244	---	---	---	27.990	---	---	---	1017.95	35.990	27.990	---	---	18.945	---	---	---	24.169	---	---	---	26.638	---	---	---	
12.10.2017	12:45:45	7.00		6.2167	---	---	---	28.027	---	---	---	1017.93	35.980	28.027	---	---	18.949	---	---	---	24.187	---	---	---	26.327	---	---	---	
12.10.2017	12:45:46	8.00		6.2063	---	---	---	28.018	---	---	---	1017.94	35.970	28.018	---	---	18.969	---	---	---	24.199	---	---	---	26.072	---	---	---	
12.10.2017	12:45:47	9.00		6.1842	---	---	---	28.048	---	---	---	1017.92	35.960	28.048	---	---	18.999	---	---	---	24.217	---	---	---	25.713	---	---	---	
12.10.2017	12:45:48	10.00		6.1745	---	---	---	28.085	---	---	---	1017.91	35.954	28.085	---	---	19.007	---	---	---	24.220	---	---	---	25.593	---	---	---	
12.10.2017	12:45:49	11.00		6.1680	---	---	---	28.129	---	---	---	1017.92	35.954	28.129	---	---	19.007	---	---	---	24.220	---	---	---	25.786	---	---	---	
12.10.2017	12:45:50	12.00		6.1711	---	---	---	28.095	---	---	---	1017.92	35.954	28.095	---	---	19.011	---	---	---	24.214	---	---	---	25.661	---	---	---	
12.10.2017	12:45:51	13.00		6.1756	---	---	---	28.070	---	---	---	1017.92	35.954	28.070	---	---	19.009	---	---	---	24.216	---	---	---	25.973	---	---	---	
12.10.2017	12:45:52	14.00		6.1710	---	---	---	28.103	---	---	---	1017.92	35.954	28.103	---	---	19.009	---	---	---	24.206	---	---	---	25.733	---	---	---	
12.10.2017	12:45:53	15.00		6.1618	---	---	---	28.154	---	---	---	1017.92	35.954	28.154	---	---	19.012	---	---	---	24.209	---	---	---	26.126	---	---	---	
12.10.2017	12:45:54	16.00		6.1622	---	---	---	28.161	---	---	---	1017.92	35.954	28.161	---	---	19.010	---	---	---	24.216	---	---	---	26.317	---	---	---	
12.10.2017	12:45:55	17.00		6.1615	---	---	---	28.159	---	---	---	1017.92	35.954	28.159	---	---	19.012	---	---	---	24.218	---	---	---	26.431	---	---	---	
12.10.2017	12:45:56	18.00		6.1672	---	---	---	28.150	---	---	---	1017.92	35.954	28.150	---	---	19.004	---	---	---	24.225	---	---	---	26.225	---	---	---	
12.10.2017	12:45:57	19.00		6.1693	---	---	---	28.157	---	---	---	1017.91	35.954	28.157	---	---	18.998	---	---	---	24.225	---	---	---	26.208	---	---	---	
12.10.2017	12:45:58	20.00		6.1724	---	---	---	28.147	---	---	---	1017.91	35.954	28.147	---	---	18.995	---	---	---	24.227	---	---	---	26.539	---	---	---	
12.10.2017	12:45:59	21.00		6.1777	---	---	---	28.118	---	---	---	1017.91	35.954	28.118	---	---	18.993	---	---	---	24.223	---	---	---	26.263	---	---	---	
12.10.2017	12:46:00	22.00		6.1698	---	---	---	28.169	---	---	---	1017.90	35.954	28.169	---	---	18.994	---	---	---	24.224	---	---	---	26.173	---	---	---	
12.10.2017	12:46:01	23.00		6.1647	---	---	---	28.214	---	---	---	1017.92	35.954	28.214	---	---	18.992	---	---	---	24.216	---	---	---	26.067	---	---	---	
12.10.2017	12:46:02	24.00		6.1592	---	---	---	28.216	---	---	---	1017.92	35.954	28.216	---	---	19.001	---	---	---	24.217	---	---	---	26.205	---	---	---	
12.10.2017	12:46:03	25.00		6.1681	---	---	---	28.165	---	---	---	1017.92	35.954	28.165	---	---	18.998	---	---	---	24.213	---	---	---	25.829	---	---	---	
12.10.2017	12:46:04	26.00		6.1660	---	---	---	28.165	---	---	---	1017.93	35.954	28.165	---	---	19.002	---	---	---	24.208	---	---	---	25.627	---	---	---	
12.10.2017	12:46:05	27.00		6.1671	---	---	---	28.141	---	---	---	1017.94	35.954	28.141	---	---	19.006	---	---	---	24.208	---	---	---	25.357	---	---	---	
12.10.2017	12:46:06	28.00		6.1596	---	---	---	28.106	---	---	---	1017.94	35.954	28.106	---	---	19.028	---	---	---	24.209	---	---	---	25.381	---	---	---	
12.10.2017	12:46:07	29.00		6.1545	---	---	---	28.106	---	---	---	1017.95	35.954	28.106	---	---	19.037	---	---	---	24.209	---	---	---	25.373	---	---	---	
