
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.213	with	FireStingO2	(Firmware	3.06)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Oxygen Sensor Spot, FTC (normal range)	mg/l (ppm)	OFF	SA7-530-200	3	ON External	20.000	ON	1013	35.000	10%	200x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	300	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	
Ch 1	Factory 0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	27.915	1018	100.000	20.950	53.000	18.553	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Data	Smoothing:	10	
Date:	12.10.2017	
			 	Oxygen				Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
12.10.2017	12:49:56	0.00		6.1478	---	---	---	28.125	---	---	---	1017.95	35.897	28.125	---	---	19.044	---	---	---	23.965	---	---	---	28.886	---	---	---	
12.10.2017	12:49:57	1.00		6.1500	---	---	---	28.103	---	---	---	1017.96	35.894	28.103	---	---	19.046	---	---	---	23.873	---	---	---	28.118	---	---	---	
12.10.2017	12:49:58	2.00		6.1505	---	---	---	28.086	---	---	---	1017.95	35.891	28.086	---	---	19.049	---	---	---	23.779	---	---	---	27.178	---	---	---	
12.10.2017	12:49:59	3.00		6.1524	---	---	---	28.077	---	---	---	1017.96	35.888	28.077	---	---	19.048	---	---	---	23.694	---	---	---	26.495	---	---	---	
12.10.2017	12:50:00	4.00		6.1687	---	---	---	28.024	---	---	---	1017.98	35.885	28.024	---	---	19.033	---	---	---	23.639	---	---	---	25.605	---	---	---	
12.10.2017	12:50:01	5.00		6.1706	---	---	---	28.018	---	---	---	1017.98	35.885	28.018	---	---	19.031	---	---	---	23.568	---	---	---	24.682	---	---	---	
12.10.2017	12:50:02	6.00		6.1728	---	---	---	28.081	---	---	---	1017.97	35.885	28.081	---	---	19.011	---	---	---	23.475	---	---	---	23.753	---	---	---	
12.10.2017	12:50:03	7.00		6.1719	---	---	---	28.106	---	---	---	1017.97	35.885	28.106	---	---	19.007	---	---	---	23.402	---	---	---	22.838	---	---	---	
12.10.2017	12:50:04	8.00		6.1772	---	---	---	28.100	---	---	---	1017.96	35.885	28.100	---	---	18.999	---	---	---	23.341	---	---	---	21.952	---	---	---	
12.10.2017	12:50:05	9.00		6.1744	---	---	---	28.135	---	---	---	1017.95	35.885	28.135	---	---	18.995	---	---	---	23.260	---	---	---	21.019	---	---	---	
12.10.2017	12:50:06	10.00		6.1822	---	---	---	28.137	---	---	---	1017.94	35.885	28.137	---	---	18.981	---	---	---	23.283	---	---	---	20.827	---	---	---	
