
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.213	with	FireStingO2	(Firmware	3.06)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Oxygen Sensor Spot, FTC (normal range)	mg/l (ppm)	OFF	SA7-530-200	3	ON External	20.000	ON	1013	35.000	10%	200x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	300	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	
Ch 1	Factory 0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	27.915	1018	100.000	20.950	53.000	18.553	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	
Data	Smoothing:	10	
Date:	12.10.2017	
			 	Oxygen				Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
12.10.2017	13:00:45	0.00		6.1414	---	---	---	28.120	---	---	---	1017.97	36.214	28.120	---	---	19.057	---	---	---	23.473	---	---	---	22.471	---	---	---	
12.10.2017	13:00:46	1.00		6.1303	---	---	---	28.103	---	---	---	1017.97	36.178	28.103	---	---	19.081	---	---	---	23.566	---	---	---	23.357	---	---	---	
12.10.2017	13:00:47	2.00		6.1019	---	---	---	28.121	---	---	---	1017.98	36.141	28.121	---	---	19.128	---	---	---	23.648	---	---	---	24.058	---	---	---	
12.10.2017	13:00:48	3.00		6.0803	---	---	---	28.128	---	---	---	1017.98	36.105	28.128	---	---	19.165	---	---	---	23.720	---	---	---	24.955	---	---	---	
12.10.2017	13:00:49	4.00		6.0619	---	---	---	28.139	---	---	---	1017.99	36.068	28.139	---	---	19.194	---	---	---	23.771	---	---	---	25.830	---	---	---	
12.10.2017	13:00:50	5.00		6.0403	---	---	---	28.164	---	---	---	1017.99	36.031	28.164	---	---	19.226	---	---	---	23.832	---	---	---	26.701	---	---	---	
12.10.2017	13:00:51	6.00		6.0229	---	---	---	28.147	---	---	---	1018.00	35.995	28.147	---	---	19.262	---	---	---	23.909	---	---	---	27.604	---	---	---	
12.10.2017	13:00:52	7.00		6.0055	---	---	---	28.197	---	---	---	1018.01	35.958	28.197	---	---	19.280	---	---	---	23.974	---	---	---	28.571	---	---	---	
12.10.2017	13:00:53	8.00		6.0052	---	---	---	28.179	---	---	---	1018.02	35.922	28.179	---	---	19.285	---	---	---	24.013	---	---	---	29.371	---	---	---	
12.10.2017	13:00:54	9.00		5.9949	---	---	---	28.135	---	---	---	1018.01	35.881	28.135	---	---	19.314	---	---	---	24.062	---	---	---	30.309	---	---	---	
12.10.2017	13:00:55	10.00		6.0040	---	---	---	28.117	---	---	---	1017.99	35.877	28.117	---	---	19.302	---	---	---	24.027	---	---	---	30.146	---	---	---	
