
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.213	with	FireStingO2	(Firmware	3.06)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Oxygen Minisensor (normal range, fast)	mg/l (ppm)	OFF	YA6-516-187	3	OFF	25.000	ON	1013	35.000	10%	200x	5	OFF	2.00	
Temp.	Sensor	Measuring	Time (ms):	300	Offset ('C):	25.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	
Ch 1	Factory 0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	25.000	969	100.000	20.950	51.600	22.418	0.817	0.106	4000	0.953	-0.070	0.000	0.000	-0.000301	
Data	Smoothing:	10	
Date:	11.12.2017	
			 	Oxygen				Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
11.12.2017	10:33:42	0.00		10.755	---	---	---	25.000	---	---	---	968.22	33.717	---	---	---	17.044	---	---	---	67.996	---	---	---	6.091	---	---	---	
11.12.2017	10:33:44	1.50		10.747	---	---	---	25.000	---	---	---	968.23	33.699	---	---	---	17.051	---	---	---	67.958	---	---	---	6.288	---	---	---	
11.12.2017	10:33:45	2.99		10.767	---	---	---	25.000	---	---	---	968.22	33.681	---	---	---	17.032	---	---	---	67.908	---	---	---	6.152	---	---	---	
11.12.2017	10:33:47	4.50		10.789	---	---	---	25.000	---	---	---	968.21	33.661	---	---	---	17.012	---	---	---	67.895	---	---	---	6.187	---	---	---	
11.12.2017	10:33:48	5.99		10.785	---	---	---	25.000	---	---	---	968.21	33.642	---	---	---	17.016	---	---	---	67.890	---	---	---	6.569	---	---	---	
11.12.2017	10:33:50	7.49		10.776	---	---	---	25.000	---	---	---	968.22	33.622	---	---	---	17.024	---	---	---	67.943	---	---	---	6.582	---	---	---	
11.12.2017	10:33:51	8.99		10.745	---	---	---	25.000	---	---	---	968.23	33.606	---	---	---	17.053	---	---	---	67.956	---	---	---	6.225	---	---	---	
11.12.2017	10:33:53	10.48		10.713	---	---	---	25.000	---	---	---	968.24	33.590	---	---	---	17.083	---	---	---	67.985	---	---	---	6.333	---	---	---	
11.12.2017	10:33:54	11.99		10.684	---	---	---	25.000	---	---	---	968.24	33.574	---	---	---	17.110	---	---	---	68.050	---	---	---	6.482	---	---	---	
11.12.2017	10:33:56	13.49		10.657	---	---	---	25.000	---	---	---	968.24	33.558	---	---	---	17.134	---	---	---	68.097	---	---	---	6.422	---	---	---	
11.12.2017	10:33:57	14.98		10.631	---	---	---	25.000	---	---	---	968.25	33.538	---	---	---	17.159	---	---	---	68.177	---	---	---	6.867	---	---	---	
11.12.2017	10:33:59	16.50		10.621	---	---	---	25.000	---	---	---	968.25	33.522	---	---	---	17.167	---	---	---	68.267	---	---	---	6.913	---	---	---	
