
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.213	with	FireStingO2	(Firmware	3.06)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Oxygen Minisensor (normal range, fast)	mg/l (ppm)	OFF	YA6-506-185	3	OFF	25.000	ON	1013	35.000	10%	200x	10	OFF	2.00	
Temp.	Sensor	Measuring	Time (ms):	300	Offset ('C):	25.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	
Ch 1	Factory 0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	25.000	1030	100.000	20.950	50.600	21.233	0.817	0.106	4000	0.953	-0.070	0.000	0.000	-0.000301	
Data	Smoothing:	10	
Date:	21.12.2017	
			 	Oxygen				Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
21.12.2017	09:14:10	0.00		7.3996	---	---	---	25.000	---	---	---	1030.37	40.117	---	---	---	20.466	---	---	---	82.597	---	---	---	4.664	---	---	---	
21.12.2017	09:14:12	1.51		7.5027	---	---	---	25.000	---	---	---	1030.37	40.110	---	---	---	20.337	---	---	---	82.064	---	---	---	4.321	---	---	---	
21.12.2017	09:14:13	3.01		7.6287	---	---	---	25.000	---	---	---	1030.36	40.103	---	---	---	20.178	---	---	---	81.420	---	---	---	4.348	---	---	---	
21.12.2017	09:14:15	4.54		7.7743	---	---	---	25.000	---	---	---	1030.36	40.093	---	---	---	19.990	---	---	---	80.695	---	---	---	5.035	---	---	---	
21.12.2017	09:14:16	6.04		7.9307	---	---	---	25.000	---	---	---	1030.35	40.087	---	---	---	19.788	---	---	---	79.891	---	---	---	5.856	---	---	---	
21.12.2017	09:14:18	7.54		8.1034	---	---	---	25.000	---	---	---	1030.34	40.080	---	---	---	19.562	---	---	---	79.024	---	---	---	6.706	---	---	---	
21.12.2017	09:14:19	9.06		8.2862	---	---	---	25.000	---	---	---	1030.34	40.073	---	---	---	19.323	---	---	---	78.069	---	---	---	7.484	---	---	---	
21.12.2017	09:14:21	10.57		8.4661	---	---	---	25.000	---	---	---	1030.33	40.066	---	---	---	19.084	---	---	---	77.082	---	---	---	7.782	---	---	---	
21.12.2017	09:14:22	12.07		8.6537	---	---	---	25.000	---	---	---	1030.33	40.059	---	---	---	18.832	---	---	---	76.109	---	---	---	7.972	---	---	---	
21.12.2017	09:14:24	13.58		8.8243	---	---	---	25.000	---	---	---	1030.33	40.052	---	---	---	18.604	---	---	---	75.187	---	---	---	7.758	---	---	---	
21.12.2017	09:14:25	15.09		8.8284	---	---	---	25.000	---	---	---	1030.32	40.049	---	---	---	18.600	---	---	---	75.196	---	---	---	7.803	---	---	---	
21.12.2017	09:14:27	16.59		8.8152	---	---	---	25.000	---	---	---	1030.31	40.043	---	---	---	18.615	---	---	---	75.262	---	---	---	8.330	---	---	---	
21.12.2017	09:14:28	18.11		8.7986	---	---	---	25.000	---	---	---	1030.32	40.037	---	---	---	18.635	---	---	---	75.298	---	---	---	7.924	---	---	---	
21.12.2017	09:14:30	19.60		8.7800	---	---	---	25.000	---	---	---	1030.32	40.034	---	---	---	18.656	---	---	---	75.372	---	---	---	7.818	---	---	---	
21.12.2017	09:14:31	21.10		8.7569	---	---	---	25.000	---	---	---	1030.33	40.031	---	---	---	18.683	---	---	---	75.444	---	---	---	7.061	---	---	---	
21.12.2017	09:14:33	22.61		8.7264	---	---	---	25.000	---	---	---	1030.34	40.028	---	---	---	18.719	---	---	---	75.560	---	---	---	6.748	---	---	---	
21.12.2017	09:14:34	24.12		8.6864	---	---	---	25.000	---	---	---	1030.36	40.024	---	---	---	18.766	---	---	---	75.684	---	---	---	6.058	---	---	---	
21.12.2017	09:14:36	25.65		8.6611	---	---	---	25.000	---	---	---	1030.36	40.021	---	---	---	18.795	---	---	---	75.824	---	---	---	5.698	---	---	---	
21.12.2017	09:14:37	27.15		8.6349	---	---	---	25.000	---	---	---	1030.36	40.014	---	---	---	18.826	---	---	---	75.930	---	---	---	4.908	---	---	---	
21.12.2017	09:14:39	28.66		8.6141	---	---	---	25.000	---	---	---	1030.36	40.008	---	---	---	18.851	---	---	---	76.043	---	---	---	5.045	---	---	---	
21.12.2017	09:14:40	30.16		8.5850	---	---	---	25.000	---	---	---	1030.37	40.001	---	---	---	18.886	---	---	---	76.168	---	---	---	5.460	---	---	---	
21.12.2017	09:14:42	31.66		8.5610	---	---	---	25.000	---	---	---	1030.36	39.994	---	---	---	18.914	---	---	---	76.267	---	---	---	5.581	---	---	---	
21.12.2017	09:14:43	33.16		8.5450	---	---	---	25.000	---	---	---	1030.35	39.987	---	---	---	18.933	---	---	---	76.385	---	---	---	6.121	---	---	---	
21.12.2017	09:14:45	34.66		8.5231	---	---	---	25.000	---	---	---	1030.36	39.980	---	---	---	18.960	---	---	---	76.468	---	---	---	6.167	---	---	---	
21.12.2017	09:14:46	36.16		8.5030	---	---	---	25.000	---	---	---	1030.36	39.973	---	---	---	18.984	---	---	---	76.582	---	---	---	6.782	---	---	---	
21.12.2017	09:14:48	37.67		8.4849	---	---	---	25.000	---	---	---	1030.34	39.967	---	---	---	19.006	---	---	---	76.646	---	---	---	6.761	---	---	---	
21.12.2017	09:14:49	39.17		8.4724	---	---	---	25.000	---	---	---	1030.33	39.960	---	---	---	19.021	---	---	---	76.726	---	---	---	6.881	---	---	---	
21.12.2017	09:14:51	40.67		8.4600	---	---	---	25.000	---	---	---	1030.33	39.953	---	---	---	19.036	---	---	---	76.791	---	---	---	6.943	---	---	---	
21.12.2017	09:14:52	42.17		8.4467	---	---	---	25.000	---	---	---	1030.32	39.950	---	---	---	19.052	---	---	---	76.830	---	---	---	7.021	---	---	---	
21.12.2017	09:14:54	43.67		8.4356	---	---	---	25.000	---	---	---	1030.32	39.947	---	---	---	19.066	---	---	---	76.877	---	---	---	6.422	---	---	---	
21.12.2017	09:14:55	45.17		8.4283	---	---	---	25.000	---	---	---	1030.31	39.944	---	---	---	19.075	---	---	---	76.932	---	---	---	6.133	---	---	---	
21.12.2017	09:14:57	46.66		8.4201	---	---	---	25.000	---	---	---	1030.32	39.944	---	---	---	19.085	---	---	---	76.968	---	---	---	6.151	---	---	---	
21.12.2017	09:14:58	48.16		8.3811	---	---	---	25.000	---	---	---	1030.32	39.944	---	---	---	19.133	---	---	---	77.101	---	---	---	5.547	---	---	---	
21.12.2017	09:15:00	49.67		8.3250	---	---	---	25.000	---	---	---	1030.32	39.944	---	---	---	19.205	---	---	---	77.347	---	---	---	5.154	---	---	---	
21.12.2017	09:15:01	51.18		8.2547	---	---	---	25.000	---	---	---	1030.32	39.944	---	---	---	19.296	---	---	---	77.692	---	---	---	5.277	---	---	---	
